    # time       flux      error   full_mod       base    transit   det_flux
8558.915072   1.000015   0.000937   1.000004   1.000004   1.000000   1.000011
8558.916460   1.000582   0.000938   1.000004   1.000004   1.000000   1.000578
8558.917849   0.999053   0.000937   1.000004   1.000004   1.000000   0.999049
8558.919238   0.998957   0.000938   1.000004   1.000004   1.000000   0.998953
8558.920627   1.000039   0.000937   1.000004   1.000004   1.000000   1.000035
8558.922016   0.999631   0.000937   1.000004   1.000004   1.000000   0.999627
8558.923405   1.000440   0.000939   1.000004   1.000004   1.000000   1.000436
8558.924794   0.999624   0.000938   1.000004   1.000004   1.000000   0.999620
8558.926183   1.001648   0.000938   1.000004   1.000004   1.000000   1.001644
8558.927571   0.999069   0.000937   1.000004   1.000004   1.000000   0.999065
8558.928960   0.999412   0.000937   1.000004   1.000004   1.000000   0.999408
8558.930349   0.998955   0.000937   1.000004   1.000004   1.000000   0.998951
8558.931738   0.999114   0.000937   1.000004   1.000004   1.000000   0.999110
8558.933127   0.999709   0.000937   1.000004   1.000004   1.000000   0.999705
8558.934516   1.000278   0.000939   1.000004   1.000004   1.000000   1.000274
8558.935905   1.000431   0.000938   1.000004   1.000004   1.000000   1.000427
8558.937293   1.001086   0.000937   1.000004   1.000004   1.000000   1.001082
8558.938682   0.999930   0.000938   1.000004   1.000004   1.000000   0.999926
8558.940071   1.000348   0.000939   1.000004   1.000004   1.000000   1.000344
8558.941460   1.000979   0.000938   1.000004   1.000004   1.000000   1.000975
8558.942849   1.001788   0.000938   1.000004   1.000004   1.000000   1.001784
8558.944238   0.999446   0.000937   1.000004   1.000004   1.000000   0.999442
8558.945627   1.000946   0.000937   1.000004   1.000004   1.000000   1.000942
8558.947016   1.000123   0.000937   1.000004   1.000004   1.000000   1.000119
8558.948404   0.999767   0.000937   1.000004   1.000004   1.000000   0.999763
8558.949793   0.999492   0.000937   1.000004   1.000004   1.000000   0.999488
8558.951182   1.000978   0.000938   1.000004   1.000004   1.000000   1.000974
8558.952571   0.997702   0.000936   1.000004   1.000004   1.000000   0.997698
8558.953960   1.000330   0.000937   1.000004   1.000004   1.000000   1.000326
8558.955349   0.999860   0.000938   1.000004   1.000004   1.000000   0.999856
8558.956738   1.000783   0.000937   1.000004   1.000004   1.000000   1.000779
8558.958126   1.000037   0.000938   1.000004   1.000004   1.000000   1.000033
8558.959515   0.998781   0.000938   1.000004   1.000004   1.000000   0.998777
8558.960904   1.000472   0.000938   1.000004   1.000004   1.000000   1.000468
8558.962293   0.998961   0.000937   1.000004   1.000004   1.000000   0.998957
8558.963682   1.000385   0.000937   1.000004   1.000004   1.000000   1.000381
8558.965071   0.999920   0.000938   1.000004   1.000004   1.000000   0.999916
8558.966460   1.000991   0.000937   1.000004   1.000004   1.000000   1.000987
8558.967849   0.999900   0.000937   1.000004   1.000004   1.000000   0.999896
8558.969237   0.998696   0.000938   1.000004   1.000004   1.000000   0.998692
8558.970626   1.000217   0.000937   1.000004   1.000004   1.000000   1.000213
8558.972015   1.000106   0.000938   1.000004   1.000004   1.000000   1.000102
8558.973404   1.000634   0.000939   1.000004   1.000004   1.000000   1.000630
8558.974793   0.998745   0.000936   1.000004   1.000004   1.000000   0.998741
8558.976182   1.001524   0.000939   1.000004   1.000004   1.000000   1.001520
8558.977571   0.998373   0.000937   1.000004   1.000004   1.000000   0.998369
8558.978959   1.000248   0.000938   1.000004   1.000004   1.000000   1.000244
8558.980348   0.998958   0.000937   1.000004   1.000004   1.000000   0.998954
8558.981737   0.999066   0.000937   1.000004   1.000004   1.000000   0.999062
8558.983126   1.001423   0.000938   1.000004   1.000004   1.000000   1.001419
8558.984515   1.000063   0.000938   1.000004   1.000004   1.000000   1.000059
8558.985904   0.999655   0.000938   1.000004   1.000004   1.000000   0.999651
8558.987293   1.000156   0.000937   1.000004   1.000004   1.000000   1.000152
8558.988682   0.999470   0.000937   1.000004   1.000004   1.000000   0.999466
8558.990070   1.000614   0.000937   1.000004   1.000004   1.000000   1.000610
8558.991459   0.998612   0.000937   1.000004   1.000004   1.000000   0.998608
8558.992848   1.001301   0.000937   1.000004   1.000004   1.000000   1.001297
8558.994237   0.999361   0.000937   1.000004   1.000004   1.000000   0.999357
8558.995626   1.000625   0.000937   1.000004   1.000004   1.000000   1.000621
8558.997015   1.001662   0.000938   1.000004   1.000004   1.000000   1.001658
8558.998404   0.998135   0.000936   1.000004   1.000004   1.000000   0.998131
8558.999792   0.999762   0.000938   1.000004   1.000004   1.000000   0.999758
8559.001181   1.000090   0.000936   1.000004   1.000004   1.000000   1.000086
8559.002570   0.999954   0.000937   1.000004   1.000004   1.000000   0.999950
8559.003959   0.999700   0.000937   1.000004   1.000004   1.000000   0.999696
8559.005348   0.999616   0.000937   1.000004   1.000004   1.000000   0.999612
8559.006737   1.001207   0.000938   1.000004   1.000004   1.000000   1.001203
8559.008126   1.000242   0.000937   1.000004   1.000004   1.000000   1.000238
8559.009515   1.001998   0.000937   1.000004   1.000004   1.000000   1.001994
8559.010903   1.001614   0.000937   1.000004   1.000004   1.000000   1.001610
8559.012292   0.999865   0.000937   1.000004   1.000004   1.000000   0.999861
8559.013681   0.999906   0.000937   1.000004   1.000004   1.000000   0.999902
8559.015070   1.000047   0.000938   1.000004   1.000004   1.000000   1.000043
8559.016459   0.999076   0.000936   1.000004   1.000004   1.000000   0.999072
8559.017848   1.000352   0.000938   1.000004   1.000004   1.000000   1.000348
