    # time       flux      error   full_mod    gp*base    transit   det_flux
8209.737144   0.996368   0.000881   0.995309   1.007519   0.987881   0.988932
8209.737819   0.994605   0.000888   0.995086   1.007264   0.987910   0.987432
8209.738491   0.993490   0.000887   0.995148   1.007296   0.987940   0.986294
8209.739162   0.994429   0.000896   0.995317   1.007436   0.987970   0.987089
8209.739841   0.995296   0.000897   0.995524   1.007613   0.988002   0.987776
8209.740517   0.993715   0.000903   0.995336   1.007391   0.988034   0.986425
8209.741194   0.997110   0.000915   0.995367   1.007388   0.988067   0.989797
8209.741868   0.994450   0.000913   0.995704   1.007695   0.988101   0.986856
8209.742541   0.995631   0.000923   0.995412   1.007364   0.988136   0.988353
8209.743211   0.995570   0.000923   0.995441   1.007357   0.988171   0.988299
8209.743883   0.993705   0.000930   0.995488   1.007367   0.988208   0.986438
8209.744557   0.996279   0.000932   0.995350   1.007189   0.988245   0.989168
8209.745227   0.994531   0.000939   0.995125   1.006923   0.988284   0.987694
8209.745999   0.994274   0.000948   0.995702   1.007459   0.988329   0.986912
8209.746675   0.993219   0.000947   0.995658   1.007373   0.988370   0.985949
8209.747350   0.993691   0.000957   0.995694   1.007367   0.988412   0.986424
8209.748023   0.992837   0.000955   0.996152   1.007786   0.988456   0.985166
8209.748692   0.994444   0.000966   0.996286   1.007877   0.988500   0.986672
8209.749366   0.996707   0.000977   0.996280   1.007825   0.988545   0.988969
8209.750038   0.996826   0.000978   0.996193   1.007689   0.988592   0.989220
8209.750710   0.996615   0.000986   0.996974   1.008430   0.988640   0.988284
8209.751382   0.998236   0.000997   0.997040   1.008446   0.988689   0.989875
8209.752056   0.997604   0.000996   0.996537   1.007885   0.988740   0.989799
8209.752728   0.996690   0.001005   0.996764   1.008062   0.988792   0.988719
8209.753398   0.999239   0.001016   0.996626   1.007868   0.988846   0.991438
8209.754068   0.997575   0.001015   0.997075   1.008265   0.988901   0.989397
8209.754739   0.994239   0.001021   0.996979   1.008111   0.988958   0.986240
