# Time  Detrended_flux  flux_error  flux  GP_model  planets_model
8.041954811270000391e+03 9.999427135126214283e-01 9.302666342343359352e-05 1.000394444358612134e+00 1.000451756725546648e+00 1.000000000000000000e+00
8.041975242890000118e+03 9.999200077346714899e-01 9.302666342343359352e-05 1.000360814719641223e+00 1.000440842248939921e+00 1.000000000000000000e+00
8.041995674519999739e+03 1.000020717927649683e+00 9.302666342343359352e-05 1.000465374688755738e+00 1.000444647548930366e+00 1.000000000000000000e+00
8.042016106140000375e+03 9.998949222048983954e-01 9.302666342343359352e-05 1.000356773561359214e+00 1.000461899891883055e+00 1.000000000000000000e+00
8.042036537769999995e+03 9.999244421638211477e-01 9.302666342343359352e-05 1.000415070270437745e+00 1.000490665180215899e+00 1.000000000000000000e+00
8.042056969389999722e+03 9.999319651981654067e-01 9.302666342343359352e-05 1.000457842529878683e+00 1.000525913112107590e+00 1.000000000000000000e+00
8.042077401020000252e+03 1.000082295339787208e+00 9.302666342343359352e-05 1.000641855271850345e+00 1.000559513886677632e+00 1.000000000000000000e+00
8.042097832749999725e+03 1.000049318577897584e+00 9.302666342343359352e-05 1.000630952146782660e+00 1.000581604884959175e+00 1.000000000000000000e+00
8.042118264269999599e+03 1.000114959771406742e+00 9.302666342343359352e-05 1.000699371757300504e+00 1.000584344809748005e+00 1.000000000000000000e+00
8.042138695900000130e+03 1.000149321602129326e+00 9.302666342343359352e-05 1.000711865338226980e+00 1.000562459748706834e+00 1.000000000000000000e+00
8.042159127619999708e+03 1.000128606715775081e+00 9.302666342343359352e-05 1.000643635782182628e+00 1.000514962838728206e+00 1.000000000000000000e+00
8.042179559150000387e+03 1.000146800057370777e+00 9.302666342343359352e-05 1.000593211329460219e+00 1.000446345748507992e+00 1.000000000000000000e+00
8.042199990869999965e+03 1.000007506394997803e+00 9.302666342343359352e-05 1.000373888466855821e+00 1.000366379321670163e+00 1.000000000000000000e+00
8.042220422499999586e+03 9.998991722189582987e-01 9.302666342343359352e-05 1.000188695386573734e+00 1.000289552362537693e+00 1.000000000000000000e+00
8.042240854020000370e+03 9.998175974208488581e-01 9.302666342343359352e-05 1.000048405176411137e+00 1.000230849863172677e+00 1.000000000000000000e+00
8.042261285749999843e+03 9.998559858458611060e-01 9.302666342343359352e-05 1.000057447768210483e+00 1.000201490939896631e+00 1.000000000000000000e+00
8.042281717380000373e+03 9.998475378402280622e-01 9.302666342343359352e-05 1.000053856738944980e+00 1.000206350359338359e+00 1.000000000000000000e+00
8.042302148900000248e+03 9.999318958499733290e-01 9.302666342343359352e-05 1.000176251819982598e+00 1.000244372612798305e+00 1.000000000000000000e+00
8.042322580629999720e+03 9.998636586262424908e-01 9.302666342343359352e-05 1.000172770822254531e+00 1.000309154346540330e+00 1.000000000000000000e+00
8.042363443879999977e+03 1.000181374727078021e+00 9.302666342343359352e-05 1.000656239394646319e+00 1.000474778554737432e+00 1.000000000000000000e+00
8.042383875499999704e+03 1.000138817479510278e+00 9.302666342343359352e-05 1.000686708127634272e+00 1.000547814601881802e+00 1.000000000000000000e+00
8.042404307130000234e+03 1.000059486586050372e+00 9.302666342343359352e-05 1.000661150802360400e+00 1.000601628427488787e+00 1.000000000000000000e+00
8.042424738749999960e+03 1.000087634080110144e+00 9.302666342343359352e-05 1.000720977950095403e+00 1.000633288372341223e+00 1.000000000000000000e+00
