# time-2457000 flux       flux_err   x_off      y_off      roll       bg         contam     deltaT    
2408.63192874 0.99984155 0.00013182 -0.01448255 0.52137762 72.87213999 0.02221893 0.71122169 0.21350098
2408.63234627 0.99986786 0.00013181 -0.44118208 -0.27706176 70.96161290 0.01815559 0.51353068 0.23348999
2408.63276380 0.99982905 0.00013181 -0.32969436 0.37914705 69.02664362 0.01933243 0.68820703 0.22348022
2408.63318133 0.99963565 0.00013179 -0.75621784 -0.09194134 67.05842978 0.01440784 0.52656959 0.20352173
2408.63359886 0.99970071 0.00013180 -0.43959737 -0.10695547 65.04861864 0.01617748 0.54637284 0.22348022
2408.63401640 0.99988151 0.00013181 -0.41776350 0.04722185 63.01634586 0.01545446 0.62202796 0.22348022
2408.63443393 0.99998428 0.00013182 -0.40605420 0.19467241 60.92300524 0.01387613 0.75259380 0.22348022
2408.63485146 1.00018747 0.00013183 -0.18486889 0.10329611 58.81331762 0.01133820 0.68082285 0.20352173
2408.63526899 1.00009079 0.00013182 -0.51924402 0.19634065 56.63603096 0.01005659 0.68981537 0.22348022
2408.63568653 0.99996906 0.00013181 0.00101246 0.17685995 54.43262557 0.00905007 0.72804052 0.22348022
2408.63610406 1.00001649 0.00013182 -0.26445687 0.27001211 52.17566088 0.00674383 0.82359367 0.20352173
2408.63652159 1.00029518 0.00013183 -0.07628648 0.18283331 49.87309363 0.00400158 0.77531518 0.20352173
2408.63693912 1.00014536 0.00013182 -0.63401860 -0.00099556 47.53376737 0.00427038 0.66650847 0.18356323
2408.63735666 1.00019528 0.00013182 -0.15217678 0.29756492 45.12900288 0.00212197 0.78659354 0.20352173
2408.63777419 1.00000033 0.00013181 -0.32215229 0.06960850 42.70531259 0.00175157 0.91788193 0.20352173
2408.63819172 1.00033146 0.00013183 -0.82864523 -0.13472353 40.19847924 0.00189610 0.75372942 0.22348022
2408.63860925 1.00018179 0.00013182 -0.03244266 0.08661375 37.67311969 0.00503797 0.76971378 0.20352173
2408.63902678 0.99987706 0.00013181 -0.28194743 0.40309432 35.08592126 0.00364042 0.96176731 0.18356323
2408.63944431 0.99993655 0.00013181 -0.06613256 0.06890892 32.46481111 0.00267851 0.79770195 0.20352173
2408.63986185 1.00007444 0.00013182 0.11073939 0.41514868 29.80330293 0.00315590 0.95447221 0.18356323
2408.64027938 1.00052753 0.00013185 -0.48801926 0.01902328 27.09710984 0.00315867 0.91535848 0.20352173
2408.64069691 1.00022796 0.00013183 0.12890494 0.28621015 24.37009647 0.00125040 0.98006089 0.18356323
2408.64111444 0.99985458 0.00013180 -0.85206378 0.19332705 21.59423183 0.00177498 0.98459610 0.20352173
2408.64153198 1.00032256 0.00013183 -0.11082742 0.23045877 18.80815595 0.00100922 0.92345963 0.20352173
2408.64194951 1.00028387 0.00013183 -0.83521885 -0.06363514 15.98829169 0.00509434 0.73087203 0.18356323
2408.64236704 1.00021708 0.00013183 -0.03640445 0.17529935 13.16010774 0.00604826 0.84311761 0.22348022
2408.64278457 1.00021107 0.00013182 -0.70010710 -0.02047625 10.31726248 0.00538145 0.71083318 0.22348022
2408.64320211 1.00009550 0.00013182 -0.03050579 0.29024619 7.47131308 0.00574605 0.84098770 0.20352173
