#time			flux		fluxerr		x			bg		roll		contam			bg			smear
2314.65488014 1.00004675 0.00032606 -0.39119790 0.00001533 184.24113908 -0.15567128 0.04461670 0.00161464
2314.65557487 0.99879458 0.00032586 -0.17037869 0.00001610 181.29417343 -0.02162200 -0.03424072 0.00108333
2314.65626960 0.99889974 0.00032587 -0.24320298 0.00001606 178.32706197 0.00470368 -0.03424072 0.00101837
2314.65696433 1.00003376 0.00032606 -0.12110994 0.00001626 175.33144563 -0.06013864 0.02487183 0.00113379
2314.65765905 0.99961116 0.00032599 -0.02419309 0.00001648 172.29901060 0.03219369 -0.03424072 0.00086637
2314.65835378 0.99977073 0.00032602 -0.43760149 0.00001693 169.22129880 -0.12729745 -0.02441406 0.00144024
2314.65904850 0.99959341 0.00032599 -0.30971356 0.00001707 166.09018365 -0.19013503 -0.01455688 0.00170416
2314.65974323 0.99977976 0.00032602 0.02667498 0.00001834 162.89780312 -0.12967999 0.00515747 0.00146500
2314.66043796 1.00046590 0.00032613 0.05242689 0.00002719 159.63631794 -0.05488320 -0.03424072 0.00126730
2314.66113268 1.00022867 0.00032609 0.38757232 0.00002665 156.29795043 -0.13387643 0.00515747 0.00146669
2314.66182741 0.99971031 0.00032601 -0.23485037 0.00002871 152.87475449 -0.13657439 0.01501465 0.00141156
2314.68058502 0.99988010 0.00032603 -0.12938731 0.00002554 42.65830693 -0.10718019 0.09408569 0.00142186
2314.68127975 0.99983523 0.00032603 -0.11696898 0.00002513 39.26944508 -0.12626719 0.09408569 0.00149583
2314.68197448 1.00029804 0.00032610 0.96252287 0.00002279 35.96221799 -0.15470994 0.08419800 0.00146758
2314.68266921 0.99986959 0.00032603 0.90420183 0.00001736 32.72875961 0.01608590 0.02487183 0.00087998
2314.68336392 1.00020624 0.00032609 0.41177526 0.00001718 29.56126308 -0.13642882 0.10400391 0.00143462
2314.68405865 0.99981829 0.00032602 -0.23934987 0.00001701 26.45175629 -0.04567276 0.07427979 0.00117835
2314.68475338 0.99972795 0.00032601 -0.70912802 0.00001635 23.39234626 -0.04810227 0.02487183 0.00131628
2314.68544811 1.00039800 0.00032612 -0.06222657 0.00001589 20.37472153 -0.14029647 0.08419800 0.00144620
2314.68614284 1.00003573 0.00032606 -0.13383410 0.00001627 17.39048495 0.06175956 0.02487183 0.00071615
2314.68683756 1.00018643 0.00032608 -0.07719387 0.00001583 14.43128250 -0.17588589 0.04461670 0.00173184
2314.68753229 1.00057760 0.00032615 -0.53740395 0.00001562 11.48861618 -0.04725855 -0.01455688 0.00109791
2314.68822702 1.00057918 0.00032615 -0.89436124 0.00001546 8.55414219 0.02647897 0.01501465 0.00100389
2314.68892174 1.00063899 0.00032616 -0.11087327 0.00001545 5.61952519 -0.07826869 0.03472900 0.00130460
2314.68961646 1.00003269 0.00032606 -0.40431314 0.00001560 2.67652633 -0.14023342 0.00515747 0.00155937
2314.69031119 1.00037993 0.00032611 -0.17297915 0.00001582 359.71675356 -0.04942953 0.00515747 0.00122002
2314.69170065 1.00055208 0.00032614 0.23613272 0.00001545 353.71387786 -0.06028772 0.03475952 0.00120384
2314.69239538 1.00040567 0.00032612 0.38942824 0.00001561 350.65417940 -0.11094060 -0.02441406 0.00140505
2314.69309010 1.00055448 0.00032614 -0.15652063 0.00001547 347.54459604 -0.14116418 0.00515747 0.00159262
2314.69378545 1.00045181 0.00032613 -0.35407267 0.00001551 344.37381963 -0.06375584 -0.00473022 0.00115577
2314.69448018 1.00009011 0.00032607 0.07513023 0.00001562 341.13926463 0.06482354 -0.03424072 0.00076458
2314.69517491 0.99958342 0.00032598 -0.26733175 0.00001595 337.82977844 -0.02665968 0.00515747 0.00106996
2314.69586964 1.00083189 0.00032619 -0.00718106 0.00001529 334.43754507 0.07719041 0.01501465 0.00070411
2314.69656435 1.00022808 0.00032609 -0.16363267 0.00001562 330.95685069 0.06871295 0.04461670 0.00071194
2314.69725908 1.00049305 0.00032613 0.06714918 0.00001550 327.38232789 -0.02534296 -0.03424072 0.00096846
2314.69795381 1.00026102 0.00032610 -0.06724589 0.00001562 323.70877655 0.03059201 0.00515747 0.00088111
2314.69864854 1.00080056 0.00032618 0.14191519 0.00001546 319.93094617 -0.17349756 0.04461670 0.00160817
2314.69934326 0.99971899 0.00032601 -0.32747110 0.00001569 316.04420559 0.01647849 -0.03424072 0.00097123
2314.70003799 1.00008873 0.00032607 -0.41994068 0.00001555 312.05023840 -0.25693439 0.00515747 0.00191924
