#time			flux		fluxerr		x			y		roll		contam			bg			smear
2256.22425368 1.00086482 0.00032601 0.42889542 -0.16468616 87.31807939 -0.27978812 0.00001539 0.00178078
2256.22494847 1.00061695 0.00032597 -0.15937183 -0.37853551 83.40177065 -0.15665877 0.00001537 0.00134991
2256.22564327 1.00012339 0.00032589 -0.05265107 -0.06672860 79.47679833 -0.05998715 0.00001545 0.00103540
2256.22633806 1.00018061 0.00032590 0.07246263 -0.17313607 75.54841101 -0.14218490 0.00001531 0.00124411
2256.22703285 0.99975607 0.00032583 0.11350056 -0.22081468 71.62193102 -0.21050300 0.00001524 0.00149295
2256.22772764 0.99990322 0.00032586 -0.20754681 0.01290525 67.70247473 -0.09200110 0.00001536 0.00108769
2256.22842243 0.99959805 0.00032581 -0.43168607 0.22087412 63.79506158 -0.02791531 0.00001531 0.00080711
2256.22911723 1.00036381 0.00032593 0.07725755 0.40981010 59.90365892 -0.25487088 0.00001498 0.00156441
2256.22981202 0.99965167 0.00032581 -0.40801043 0.21070891 56.03204560 -0.19155568 0.00001536 0.00157883
2256.23050682 1.00011058 0.00032589 -0.22471146 -0.24821405 52.18399244 -0.16092969 0.00001530 0.00138386
2256.23120161 0.99975367 0.00032583 -0.44941259 0.44069311 48.36327814 -0.15803382 0.00001527 0.00128821
2256.23189639 0.99974970 0.00032583 -0.48443418 0.30230496 44.57351220 -0.09426215 0.00001557 0.00104869
2256.23259119 0.99983146 0.00032584 -0.65870258 0.42885706 40.81610506 -0.17742844 0.00001525 0.00136188
2256.23328598 0.99979182 0.00032584 -0.43021524 0.15900994 37.09159574 0.04010175 0.00001555 0.00058317
2256.23398078 0.99993485 0.00032586 0.63918362 0.07796773 33.40044417 -0.11864197 0.00001526 0.00109652
2256.23467557 0.99942158 0.00032578 -0.39937702 0.10209543 29.74311803 -0.12309181 0.00001566 0.00125661
2256.23537037 1.00005412 0.00032588 -0.53509050 0.42814794 26.12004604 -0.12393799 0.00001533 0.00118972
2256.23606516 1.00033774 0.00032593 -0.62382436 0.24786030 22.53052405 -0.05251728 0.00001554 0.00100444
2256.23675996 0.99955993 0.00032580 -0.06476628 0.02801266 18.97239907 -0.01426088 0.00001540 0.00083690
2256.23745474 1.00020882 0.00032591 -0.14944054 0.19106816 15.44349169 -0.10446182 0.00001540 0.00106682
2256.23814953 0.99992518 0.00032586 -0.83026766 -0.13979014 11.94143829 0.05408167 0.00001541 0.00072584
2256.23884433 1.00021180 0.00032591 -0.69281374 0.03205292 8.46405984 -0.03972603 0.00001547 0.00100003
2256.23953912 1.00053150 0.00032596 -0.41799489 0.05497323 5.00883392 -0.03405864 0.00001552 0.00092261
2256.24023392 1.00041648 0.00032594 -0.72018748 0.26984131 1.57237157 0.01966574 0.00001537 0.00076839
2256.24092871 0.99971089 0.00032582 -0.17485467 0.43853875 358.15110493 -0.27194270 0.00001543 0.00167459
2256.24162350 1.00060727 0.00032597 0.27492919 0.36740811 354.74147304 -0.25025032 0.00001541 0.00156837
2256.24231829 1.00029372 0.00032592 -0.21769923 -0.31839046 351.33996513 -0.25320862 0.00001551 0.00170118
2256.24301308 1.00044954 0.00032594 0.13997157 -0.72537407 347.94289335 -0.11014522 0.00001544 0.00112940
2256.24370788 0.99998094 0.00032587 0.18873725 -0.64833944 344.54664486 -0.08209159 0.00001575 0.00109543
2256.24440267 0.99979251 0.00032584 0.11529482 -0.50072914 341.14749480 -0.09083573 0.00001571 0.00117034
2256.24509746 1.00065255 0.00032598 -0.07009758 -0.32655007 337.74172480 -0.06384405 0.00001546 0.00106935
2256.24579226 1.00071092 0.00032599 0.05455191 -0.17202480 334.32560946 -0.17152587 0.00001552 0.00143725
2256.24648705 1.00032770 0.00032592 0.08252670 -0.10325013 330.89544155 -0.08360947 0.00001554 0.00115321
2256.24718184 1.00024156 0.00032591 0.04528382 0.08102725 327.44795762 -0.09606248 0.00001549 0.00109527
2256.24787663 0.99973230 0.00032583 0.24069716 -0.36155225 323.98021416 -0.15961897 0.00001558 0.00137773
2256.24857143 1.00015856 0.00032590 0.41745470 -0.17884937 320.48946434 -0.21923051 0.00001556 0.00155024
2256.24926622 1.00052725 0.00032596 -0.17776440 -0.35373390 316.97291060 -0.24554396 0.00001550 0.00171767
2256.24996101 1.00022406 0.00032591 0.06490684 -0.11297582 313.42774865 0.03857283 0.00001559 0.00072374
2256.25065581 0.99996963 0.00032587 -0.47867841 -0.39628824 309.85166574 -0.16792947 0.00001624 0.00150413
2256.25135060 1.00031985 0.00032592 -0.64399053 -0.35013437 306.24383780 -0.12481343 0.00001634 0.00137816
2256.25204540 0.99983655 0.00032584 -0.62926548 -0.52294716 302.60373567 -0.15803546 0.00001638 0.00148262
2256.25274018 0.99944840 0.00032578 -0.46895915 -0.55803346 298.93088488 -0.07201856 0.00001685 0.00121953
2256.25343497 0.99983825 0.00032584 -0.73030919 -0.49511977 295.22463129 -0.10886467 0.00001735 0.00132834
2256.25412977 1.00017193 0.00032590 -0.60633376 -0.65325151 291.48473533 -0.09749895 0.00002317 0.00124750
2256.25482456 0.99936188 0.00032577 -0.28163937 -0.92221865 287.71285099 -0.05914739 0.00002813 0.00113568
2256.25551936 0.99995472 0.00032586 0.28359935 -0.60294482 283.91163269 -0.09943459 0.00002896 0.00119623
2256.25621415 1.00024392 0.00032591 0.54898002 -0.52776698 280.08373487 -0.16264393 0.00003037 0.00144905
2256.27775333 1.00017954 0.00032590 0.44502367 0.51608398 166.20719399 -0.11205653 0.00004007 0.00120918
2256.27844813 1.00012462 0.00032589 0.41658798 0.61144071 162.83611850 -0.23934229 0.00003345 0.00167212
2256.27914292 0.99918298 0.00032574 0.39196752 0.18501662 159.45934054 -0.05024806 0.00002937 0.00096985
2256.27983772 0.99906209 0.00032572 0.21475591 0.17556163 156.07307697 -0.00050377 0.00002632 0.00077610
2256.28053251 0.99959876 0.00032581 -0.08700474 0.18723014 152.67379326 0.01267405 0.00002393 0.00069628
2256.28122731 0.99953816 0.00032580 -0.08026747 0.11726044 149.25823052 0.06161113 0.00002253 0.00051630
2256.28192210 0.99923950 0.00032575 0.02610665 0.12753569 145.82315315 -0.13090518 0.00002102 0.00130231
2256.28261688 0.99990897 0.00032586 -0.11967674 -0.24180257 142.36537647 -0.06654938 0.00001955 0.00107270
2256.28331168 0.99965683 0.00032582 0.35066294 -0.59041162 138.88154742 -0.09246301 0.00001875 0.00115864
2256.28400647 0.99908498 0.00032572 0.25853338 -0.32473442 135.36889411 -0.20501613 0.00001800 0.00159065
2256.28470127 0.99963357 0.00032581 0.69921216 -0.34724183 131.82575976 -0.13113672 0.00001724 0.00136291
2256.28539606 0.99942650 0.00032578 0.43012282 0.20728492 128.25070636 -0.11126489 0.00001680 0.00122200
2256.28609085 0.99999166 0.00032587 0.03848573 -0.09509961 124.64228885 0.01404863 0.00001655 0.00072023
2256.28678565 0.99952973 0.00032579 -0.30791617 0.00665000 120.99906934 -0.11718612 0.00001639 0.00126238
2256.28817523 0.99950031 0.00032579 0.13521749 0.06675926 113.60537778 -0.00220155 0.00001604 0.00079285
2256.28887002 0.99973893 0.00032583 0.47370933 0.07833684 109.85715388 -0.08696618 0.00001593 0.00098003
2256.28956481 0.99983828 0.00032584 0.74050380 0.12890481 106.07685075 -0.03092050 0.00001602 0.00088262
2256.29025961 0.99987579 0.00032585 0.61383598 0.33190140 102.26607839 -0.14902802 0.00001598 0.00126269
2256.29095440 1.00020841 0.00032591 0.26982154 0.41877226 98.42649877 -0.24096437 0.00001584 0.00158936
2256.29164920 1.00007484 0.00032588 0.49546638 0.33503381 94.56109292 -0.25146114 0.00001577 0.00159356
2256.29234399 0.99967964 0.00032582 0.67726919 0.76634476 90.67437107 -0.21593328 0.00001557 0.00158802
2256.29303877 1.00019973 0.00032590 0.29809930 -0.31193776 86.77098459 -0.21961369 0.00001550 0.00163106
2256.29373357 1.00042094 0.00032594 -0.28680685 -0.20725907 82.85539444 -0.27872270 0.00001549 0.00179785
2256.29442836 1.00043014 0.00032594 -0.11359666 -0.17173243 78.93225796 -0.17486678 0.00001541 0.00140766
2256.29512316 0.99983737 0.00032584 -0.23362091 -0.17515593 75.00624170 -0.10026407 0.00001547 0.00110473
2256.29581795 1.00043268 0.00032594 -0.19264767 -0.15027363 71.08224858 -0.18397660 0.00001528 0.00150322
2256.29651275 0.99972465 0.00032583 -0.39947337 -0.03106842 67.16521369 -0.02627382 0.00001540 0.00092719
2256.29720754 0.99999943 0.00032587 -0.41953837 0.35485244 63.26008004 -0.06592484 0.00001529 0.00100519
2256.29790232 1.00070684 0.00032599 0.08588343 0.66387862 59.37184771 -0.29052254 0.00001507 0.00179717
2256.29859712 0.99956272 0.00032580 -0.36560634 0.22767973 55.50511740 -0.09352538 0.00001555 0.00117256
2256.29929191 0.99986496 0.00032585 -0.49394392 -0.03107618 51.66303937 0.00458297 0.00001531 0.00087501
2256.29998671 0.99980114 0.00032584 -0.33241647 0.40678458 47.84794254 -0.02989517 0.00001539 0.00089828
2256.30068150 0.99969803 0.00032582 -0.71966676 0.22284583 44.06214342 -0.05481665 0.00001524 0.00098682
2256.30137630 1.00010672 0.00032589 -0.57743888 0.33834460 40.30796645 -0.07397863 0.00001532 0.00099065
2256.30207109 1.00036781 0.00032593 -0.43887207 -0.00650060 36.58767759 -0.01500732 0.00001551 0.00090680
2256.30276587 0.99952599 0.00032579 0.22495063 -0.32491686 32.90214933 -0.26540342 0.00001554 0.00176386
2256.30346067 1.00023847 0.00032591 -0.43155216 0.10916980 29.25042634 -0.03843891 0.00001545 0.00092630
2256.30415546 0.99999180 0.00032587 -0.79147190 0.40744063 25.63164602 -0.10113417 0.00001536 0.00114206
2256.30485026 0.99953085 0.00032579 -0.15317133 0.31602608 22.04489099 -0.11115958 0.00001545 0.00116493
2256.30554505 1.00051213 0.00032595 0.17355532 0.01812540 18.48923598 -0.05546163 0.00001549 0.00096856
2256.30623984 1.00005981 0.00032588 -0.20375548 0.19423448 14.96327762 -0.03811584 0.00001549 0.00093503
2256.30693464 1.00075414 0.00032599 -0.88413473 -0.02946093 11.46426118 0.04446506 0.00001557 0.00066995
2256.30762943 0.99994121 0.00032586 -0.52742239 0.10222589 7.98920838 -0.09901683 0.00001557 0.00122266
2256.30832422 1.00044554 0.00032594 -0.47018900 0.16384564 4.53519164 -0.09213404 0.00001558 0.00106980
2256.30901901 1.00005744 0.00032588 -0.54127350 0.25196470 1.09911669 -0.12188268 0.00001552 0.00121905
2256.30971380 1.00021318 0.00032591 0.14425341 0.22911367 357.67799256 -0.20386290 0.00001555 0.00146806
2256.31040860 1.00014707 0.00032590 0.60595177 0.18948687 354.26829334 -0.11432133 0.00001558 0.00112208
2256.31110339 1.00039458 0.00032594 0.06554007 -0.45906156 350.86627310 -0.34110336 0.00001550 0.00206442
