#time			flux		fluxerr		x			y		roll		contam			deltaT			smear
2264.61389705 1.00024321 0.00032592 0.67588019 -0.00800581 33.36347667 -0.11633347 -0.17129517 0.00135963
2264.61459183 0.99941262 0.00032579 -0.20646417 0.09561051 29.68615920 -0.12168447 -0.20050049 0.00138952
2264.61528661 0.99988560 0.00032587 -0.42073462 0.35708597 26.02265820 -0.13595108 -0.18106079 0.00137613
2264.61598140 1.00051992 0.00032597 -0.28641469 0.24929142 22.37285892 -0.10968762 -0.20050049 0.00123115
2264.61667618 0.99972999 0.00032584 0.14685636 -0.19835915 18.73637060 -0.10458881 -0.19079590 0.00138447
2264.61737096 0.99983410 0.00032586 -0.18227872 0.17691731 15.11281004 -0.08610172 -0.21997070 0.00120871
2264.61806575 0.99995900 0.00032588 -0.94458505 -0.07097839 11.50178640 0.05340314 -0.21023560 0.00093282
2264.61876053 1.00071611 0.00032600 -0.51615078 0.12583419 7.90287348 -0.07975733 -0.13226318 0.00127513
2264.61945531 1.00061105 0.00032598 -0.62551957 0.24547180 4.31518336 -0.02216077 -0.15179443 0.00103162
2264.62015009 0.99989298 0.00032587 -0.45006148 0.25974653 0.73731501 -0.08177494 -0.18106079 0.00119126
2264.62084488 0.99987970 0.00032587 -0.00415503 -0.01914844 357.16803470 -0.19335267 -0.21023560 0.00163167
2264.62153966 1.00034949 0.00032594 0.32767784 0.15812883 353.60605578 -0.10625136 -0.21023560 0.00126002
2264.62223445 1.00073008 0.00032600 0.06873159 -0.51649734 350.05008221 -0.19746785 -0.19079590 0.00166129
2264.62292923 1.00056462 0.00032598 0.02705245 -0.78928395 346.49870202 0.04955325 -0.19079590 0.00080180
2264.62362402 0.99974744 0.00032584 0.26717747 -0.54357652 342.95030155 -0.16802570 -0.22967529 0.00157709
2264.62431880 1.00038954 0.00032595 0.10262960 -0.46102331 339.40325718 -0.07469185 -0.22967529 0.00124808
2264.62501357 1.00039150 0.00032595 -0.04316305 -0.23897172 335.85599771 -0.11025844 -0.20050049 0.00141295
2264.62570836 0.99981959 0.00032586 -0.00762266 0.09506544 332.30677864 0.02286454 -0.19079590 0.00092942
2264.62640314 1.00049148 0.00032597 0.05915541 0.17191088 328.75408474 -0.08828153 -0.21023560 0.00121804
2264.62709793 0.99971117 0.00032584 -0.02280053 -0.06965876 325.19654073 -0.10169947 -0.21997070 0.00134273
2264.62779271 0.99984370 0.00032586 0.17005601 -0.21294296 321.63283043 -0.24025647 -0.21023560 0.00184486
2264.62848750 0.99996705 0.00032588 -0.11140951 -0.05973201 318.06163019 -0.05924873 -0.22967529 0.00119376
2264.62918228 0.99946249 0.00032580 -0.20423275 -0.12660005 314.48162398 -0.07018081 -0.20050049 0.00130607
2264.62987707 1.00035227 0.00032594 -0.60571161 -0.50193361 310.89152946 -0.12824677 -0.22967529 0.00157421
2264.63057184 0.99999292 0.00032588 -0.66694667 -0.59017565 307.29061501 -0.01101799 -0.21023560 0.00108961
2264.63126663 1.00068950 0.00032600 -0.58455948 -0.48450865 303.67827303 -0.20627579 -0.22967529 0.00181203
